dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
730,A,3,20,8,10,10,12,0.4,1,7
730,A,4,20,8,10,10,12,0.4,1,7
730,A,5,20,0,10,10,20,0,0,0
732,A,1,19,5,10,9,14,0.263157895,4,1
732,A,2,19,6,9,10,13,0.315789474,4,2
732,A,3,20,8,10,10,12,0.4,2,6
732,A,4,19,7,9,10,12,0.368421053,4,3
732,A,5,17,5,7,10,12,0.294117647,1,4
786,A,1,20,1,10,10,19,0.05,0,1
786,A,2,19,0,10,9,19,0,0,0
786,A,3,16,3,6,10,13,0.1875,0,3
786,A,4,14,4,6,8,10,0.285714286,0,4
786,A,5,19,3,10,9,16,0.157894737,0,3
799,A,1,18,0,9,9,18,0,0,0
799,A,2,20,0,10,10,20,0,0,0
799,A,3,20,0,10,10,20,0,0,0
799,A,4,20,0,10,10,20,0,0,0
799,A,5,20,0,10,10,20,0,0,0
820,A,1,18,2,9,9,16,0.111111111,0,2
820,A,2,20,5,10,10,15,0.25,0,5
820,A,3,20,5,10,10,15,0.25,0,5
820,A,4,19,6,10,9,13,0.315789474,1,5
820,A,5,20,0,10,10,20,0,0,0
832,A,1,19,13,9,10,6,0.684210526,3,10
832,A,2,20,6,10,10,14,0.3,1,5
832,A,3,19,6,10,9,13,0.315789474,2,4
832,A,4,20,1,10,10,19,0.05,1,0
832,A,5,20,2,10,10,18,0.1,0,2
852,A,1,20,17,10,10,3,0.85,8,9
852,A,2,20,12,10,10,8,0.6,4,8
852,A,3,20,10,10,10,10,0.5,3,7
852,A,4,20,8,10,10,12,0.4,2,6
852,A,5,18,13,10,8,5,0.722222222,7,6
859,A,1,20,17,10,10,3,0.85,8,9
859,A,2,20,1,10,10,19,0.05,0,1
859,A,3,19,6,10,9,13,0.315789474,0,6
859,A,4,20,9,10,10,11,0.45,1,8
859,A,5,20,18,10,10,2,0.9,8,10
908,A,1,20,3,10,10,17,0.15,1,2
908,A,2,20,4,10,10,16,0.2,0,4
908,A,3,16,8,6,10,8,0.5,0,8
908,A,4,19,4,9,10,15,0.210526316,0,4
908,A,5,19,11,9,10,8,0.578947368,6,5
913,A,1,19,18,9,10,1,0.947368421,9,9
913,A,2,20,15,10,10,5,0.75,6,9
913,A,3,20,15,10,10,5,0.75,6,9
913,A,4,20,7,10,10,13,0.35,2,5
913,A,5,20,16,10,10,4,0.8,7,9
