line,Trait,trait_value
802,T1.leg.length.m,237.01521132697937
805,T1.leg.length.m,235.96189013477638
808,T1.leg.length.m,234.40947438562864
812,T1.leg.length.m,239.29253293930535
818,T1.leg.length.m,237.60304513893132
820,T1.leg.length.m,233.87592734082935
837,T1.leg.length.m,234.70607008661514
85,T1.leg.length.m,236.02397095784056
852,T1.leg.length.m,235.35366099779617
855,T1.leg.length.m,234.208993975036
857,T1.leg.length.m,235.5672123669491
859,T1.leg.length.m,232.50928239770138
861,T1.leg.length.m,233.24547911228612
879,T1.leg.length.m,233.19389285864756
88,T1.leg.length.m,229.80296764979204
890,T1.leg.length.m,234.72620123179078
892,T1.leg.length.m,235.07693397492983
894,T1.leg.length.m,236.7861526235841
91,T1.leg.length.m,230.82874894910935
93,T1.leg.length.m,238.7949383948692
101,T2.leg.length.f,329.06740797758226
105,T2.leg.length.f,327.8563388672829
109,T2.leg.length.f,323.9240246765863
129,T2.leg.length.f,324.8394884811557
136,T2.leg.length.f,336.5364481795846
138,T2.leg.length.f,327.1846936367885
142,T2.leg.length.f,334.38066537034035
149,T2.leg.length.f,323.4675029486454
153,T2.leg.length.f,338.2039377631369
158,T2.leg.length.f,332.18562844803006
161,T2.leg.length.f,329.6635318646352
176,T2.leg.length.f,324.22928096179464
177,T2.leg.length.f,325.3136760337781
181,T2.leg.length.f,324.48329615166074
195,T2.leg.length.f,333.48684660773614
208,T2.leg.length.f,316.85104277180955
21,T2.leg.length.f,327.25450817527627
217,T2.leg.length.f,324.3384159900605
227,T2.leg.length.f,325.34388448113134
228,T2.leg.length.f,328.6874383439609
229,T2.leg.length.f,327.0935696467017
233,T2.leg.length.f,330.37587937915606
235,T2.leg.length.f,331.55410873582986
237,T2.leg.length.f,328.85179599881076
239,T2.leg.length.f,329.34557190564954
256,T2.leg.length.f,332.66614449453135
26,T2.leg.length.f,326.60465425503935
28,T2.leg.length.f,328.9735501330146
280,T2.leg.length.f,333.81419803618695
287,T2.leg.length.f,325.7047118679223
310,T2.leg.length.f,327.57323029892655
313,T2.leg.length.f,327.0175604625162
318,T2.leg.length.f,329.9177732251591
320,T2.leg.length.f,329.4330912784658
325,T2.leg.length.f,334.06499020141456
