Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
357/,6/19/13,L,MK,22,5,11,12,27,23,0.336553945
357/,10/15/12,S,EN,19,15,14,18,34,32,0.121323529
357/,6/13/13,S,SF,32,15,20,20,47,40,0.180851064
357/,6/19/13,S,MK,33,9,13,6,42,19,0.101503759
358/,5/15/13,L,AR,38,11,23,17,49,40,0.200510204
358/,6/5/13,L,MK,33,6,11,4,39,15,0.112820513
358/,6/6/13,L,SF,28,6,16,15,34,31,0.30740038
358/,9/26/12,S,JZ,30,9,11,17,39,28,0.376373626
358/,9/26/12,S,JZ,25,17,22,17,42,39,0.031135531
358/,9/26/12,S,JZ,26,16,22,19,42,41,0.082462253
359/,4/4/13,L,MB,20,15,20,17,35,37,0.030888031
359/,5/22/13,L,AR,31,14,15,17,45,32,0.220138889
359/,5/28/13,L,SL,29,13,12,20,42,32,0.31547619
359/,4/4/13,S,MB,29,10,14,13,39,27,0.225071225
359/,5/22/13,S,AR,25,14,10,20,39,30,0.307692308
359/,5/28/13,S,SL,28,14,16,18,42,34,0.196078431
360/,10/31/12,L,JZ,27,16,19,15,43,34,0.069083447
360/,6/17/13,L,SL,25,11,16,15,36,31,0.178315412
360/,6/21/13,L,AN,31,9,13,12,40,25,0.255
360/,9/20/12,S,NG,32,15,17,13,47,30,0.114184397
360/,11/1/12,S,NG,23,22,19,22,45,41,0.047696477
360/,6/17/13,S,SL,31,5,10,9,36,19,0.334795322
360/,6/21/13,S,AN,18,20,18,12,38,30,-0.126315789
361/,3/5/13,L,MB,30,9,13,12,39,25,0.249230769
361/,3/7/13,L,MB,23,16,14,12,39,26,0.051282051
361/,3/8/13,L,KL,38,7,25,15,45,40,0.219444444
361/,3/12/13,L,MB,20,17,7,9,37,16,0.103040541
361/,3/14/13,L,KA,5,7,9,17,12,26,0.070512821
361/,10/26/12,S,EN,14,14,14,11,28,25,-0.06
361/,3/5/13,S,MB,28,18,14,13,46,27,0.090177134
361/,3/7/13,S,MB,20,13,15,14,33,29,0.088819227
361/,3/8/13,S,KL,25,11,19,13,36,32,0.100694444
361/,3/12/13,S,MB,18,18,11,17,36,28,0.107142857
361/,3/14/13,S,KA,27,12,19,13,39,32,0.098557692
362/,2/13/13,L,KA,24,19,3,7,43,10,0.258139535
362/,7/9/13,L,AN,32,10,20,24,42,44,0.307359307
362/,7/30/13,L,AN,21,23,23,23,44,46,-0.022727273
362/,10/8/14,L,AN,11,26,18,12,37,30,-0.302702703
362/,8/1/12,S,LP,19,26,14,12,45,26,-0.116239316
362/,7/9/13,S,AN,27,11,15,13,38,28,0.17481203
362/,7/16/13,S,AN,41,7,13,26,48,39,0.520833333
362/,10/15/14,S,LH,17,11,13,8,28,21,-0.011904762
365/,4/26/13,L,EN,23,17,22,12,40,34,-0.072058824
365/,5/17/13,L,EN,21,15,13,12,36,25,0.063333333
365/,5/24/13,L,JG,22,14,17,16,36,33,0.095959596
365/,7/5/12,S,LP,18,24,13,18,42,31,0.00921659
365/,3/19/13,S,SL,21,11,12,12,32,24,0.15625
365/,4/26/13,S,EN,28,10,11,14,38,25,0.296842105
367/,4/25/13,L,KA,41,8,22,19,49,41,0.300149328
367/,7/9/13,L,AN,34,9,24,19,43,43,0.23255814
367/,7/15/13,L,KL,18,12,16,17,30,33,0.115151515
367/,2/12/13,S,MB,27,11,17,16,38,33,0.195374801
367/,4/25/13,S,KA,28,22,25,12,50,37,-0.115675676
367/,7/9/13,S,AN,34,11,9,19,45,28,0.434126984
371/,1/29/13,L,MB,28,18,12,14,46,26,0.147157191
371/,6/26/13,L,MK,22,6,15,14,28,29,0.268472906
371/,6/27/13,L,SL,15,12,10,12,27,22,0.101010101
371/,7/4/12,S,LP,31,16,20,16,47,36,0.104018913
371/,6/26/13,S,MK,29,16,12,20,45,32,0.269444444
371/,6/27/13,S,SL,23,10,10,10,33,20,0.196969697
373/,5/2/13,L,LT,43,3,18,15,46,33,0.389328063
373/,6/26/13,L,MK,26,16,11,12,42,23,0.140786749
373/,7/2/13,L,MK,31,11,19,20,42,39,0.250915751
373/,5/2/13,S,LT,27,16,28,3,43,31,-0.27531883
373/,6/21/13,S,AN,27,20,19,8,47,27,-0.129235619
373/,6/26/13,S,MK,26,11,6,20,37,26,0.471933472
375/,10/30/12,L,NG,23,15,31,16,38,47,-0.05431131
375/,3/28/13,L,MB,23,17,9,16,40,25,0.215
375/,5/24/13,L,JG,15,5,12,9,20,21,0.178571429
375/,8/1/12,S,LP,23,16,9,21,39,30,0.28974359
375/,10/31/12,S,JZ,25,18,5,17,43,22,0.354122622
375/,3/28/13,S,MB,32,9,15,13,41,28,0.244773519
375/,4/5/13,S,KL,29,11,11,10,40,21,0.201190476
375/,4/16/13,S,MB,28,14,14,16,42,30,0.2
377/,9/4/13,L,JG,27,13,15,17,40,32,0.20625
377/,9/16/13,L,MK,33,10,12,26,43,38,0.451652387
377/,11/15/13,L,JG,28,19,20,16,47,36,0.040189125
377/,4/4/13,S,MB,15,18,18,17,33,35,-0.05974026
377/,11/8/13,S,KA,28,11,10,10,39,20,0.217948718
377/,11/15/13,S,JG,24,15,7,14,39,21,0.282051282
378/,11/15/12,L,NG,19,12,14,21,31,35,0.212903226
378/,6/13/13,L,SF,26,19,18,19,45,37,0.091291291
378/,6/25/13,L,MK,26,15,22,14,41,36,0.02303523
378/,7/19/12,S,EN,22,23,20,16,45,36,-0.066666667
378/,6/13/13,S,SF,22,19,18,16,41,34,0.007173601
378/,6/25/13,S,MK,26,16,18,11,42,29,-0.001642036
379/,11/15/12,L,NG,33,11,9,20,44,29,0.439655172
379/,7/8/13,L,KL,21,11,14,14,32,28,0.15625
379/,7/10/13,L,MK,17,24,16,14,41,30,-0.118699187
379/,7/26/12,S,EN,23,17,11,9,40,20,0.025
379/,7/8/13,S,KL,33,7,17,11,40,28,0.217857143
379/,7/10/13,S,MK,26,7,14,15,33,29,0.305120167
380/,11/29/12,L,SL,16,15,12,14,31,26,0.054590571
380/,4/8/13,L,LT,36,9,24,21,45,45,0.266666667
380/,4/25/13,L,KA,36,9,15,16,45,31,0.316129032
380/,5/9/13,L,MB,33,10,22,11,43,33,0.100775194
380/,7/10/12,S,EN,11,10,4,8,21,12,0.19047619
380/,8/6/12,S,EN,10,12,11,7,22,18,-0.156565657
380/,4/1/13,S,KL,32,11,9,12,43,21,0.315614618
380/,4/8/13,S,LT,30,8,8,11,38,19,0.368421053
380/,4/25/13,S,KA,34,8,22,14,42,36,0.198412698
380/,5/9/13,S,MB,35,10,25,13,45,38,0.119883041
383/,6/25/14,L,EN,25,12,11,2,37,13,-0.17047817
383/,7/9/14,L,AS,25,14,11,15,39,26,0.217948718
383/,7/16/14,L,AS,31,6,8,8,37,16,0.337837838
383/,8/20/14,L,AS,23,19,20,16,42,36,-0.007936508
383/,6/19/14,S,EN,23,15,9,5,38,14,-0.037593985
383/,6/25/14,S,EN,29,14,19,13,43,32,0.080668605
383/,7/9/14,S,AS,27,16,18,10,43,28,-0.014950166
383/,8/20/14,S,AS,32,10,12,10,42,22,0.216450216
386/,10/12/12,L,SL,11,13,11,12,24,23,-0.019927536
386/,9/5/13,L,AR,28,16,25,17,44,42,0.041125541
386/,9/11/13,L,KA,43,1,15,19,44,34,0.536096257
386/,8/7/12,S,EN,17,13,0,5,30,5,0.566666667
386/,9/5/13,S,AR,17,16,7,6,33,13,-0.023310023
386/,9/11/13,S,KA,24,15,16,9,39,25,-0.024615385
386/,9/19/13,S,AR,23,18,22,11,41,33,-0.105691057
386/,9/30/13,S,MK,23,21,13,25,44,38,0.18062201
387/,10/25/12,L,NG,25,20,14,30,45,44,0.237373737
387/,6/28/13,L,AN,33,13,18,23,46,41,0.278366914
387/,7/8/13,L,KL,28,14,13,17,42,30,0.233333333
387/,10/24/12,S,JZ,14,20,4,10,34,14,0.12605042
387/,6/28/13,S,AN,35,9,22,15,44,37,0.200859951
387/,7/8/13,S,KL,34,5,3,14,39,17,0.695324284
391/,11/8/12,L,NG,24,20,17,22,44,39,0.10955711
391/,6/27/13,L,SL,26,7,18,7,33,25,0.067878788
391/,7/30/13,L,AN,32,15,23,21,47,44,0.158123791
391/,8/1/13,L,AN,26,18,22,21,44,43,0.079281184
391/,8/5/13,L,KL,23,14,17,10,37,27,-0.008008008
391/,3/20/12,S,EN,19,17,11,23,36,34,0.204248366
391/,3/28/12,S,PV,33,12,19,5,45,24,-0.058333333
391/,4/5/12,S,NG,9,28,12,22,37,34,-0.109697933
391/,8/8/13,S,AN,34,11,24,24,45,48,0.255555556
398/,9/13/13,L,DG,25,16,16,13,41,29,0.05803196
398/,9/17/13,L,AN,31,12,23,12,43,35,0.063787375
398/,9/26/13,L,AR,28,9,24,15,37,39,0.141372141
398/,3/26/13,S,MB,34,9,17,14,43,31,0.242310578
