ID,MappingPanel,line,Genotype Bloomington,RepVial,CaffeineResistance
29218,DGRP,158,28147,1,83.08333333
29219,DGRP,158,28147,1,60.21666667
29220,DGRP,158,28147,1,73.58333333
29221,DGRP,158,28147,1,73.55
29222,DGRP,158,28147,1,22.53333333
29223,DGRP,158,28147,1,61.31666667
29224,DGRP,158,28147,1,61.25
29225,DGRP,158,28147,1,47.83333333
29226,DGRP,158,28147,1,61.66666667
29227,DGRP,158,28147,1,42.43333333
29228,DGRP,158,28147,1,84.78333333
29229,DGRP,161,28148,1,11.45
29230,DGRP,161,28148,1,15.3
29231,DGRP,161,28148,1,12.46666667
29232,DGRP,161,28148,1,9.9
29233,DGRP,161,28148,1,11.05
29234,DGRP,161,28148,1,21.11666667
29235,DGRP,161,28148,1,15.21666667
29236,DGRP,161,28148,1,11.85
29237,DGRP,161,28148,1,16.4
29238,DGRP,161,28148,1,12.68333333
29239,DGRP,161,28148,1,24.73333333
29240,DGRP,161,28148,1,13.38333333
29241,DGRP,161,28148,1,25.88333333
29242,DGRP,161,28148,1,24.26666667
29243,DGRP,161,28148,1,10.01666667
29244,DGRP,161,28148,1,7.083333333
29245,DGRP,176,28149,1,67.68333333
29246,DGRP,176,28149,1,50.6
29247,DGRP,176,28149,1,31.9
29248,DGRP,176,28149,1,67.78333333
29249,DGRP,176,28149,1,46.15
29250,DGRP,176,28149,1,43.61666667
29251,DGRP,176,28149,1,20.01666667
29252,DGRP,176,28149,1,23.98333333
29253,DGRP,176,28149,1,55.25
29254,DGRP,176,28149,1,35.23333333
29255,DGRP,176,28149,1,88.3
29256,DGRP,176,28149,1,43.3
29257,DGRP,176,28149,1,56.35
29258,DGRP,176,28149,1,38.11666667
29259,DGRP,176,28149,1,73.16666667
29260,DGRP,176,28149,1,61.38333333
29261,DGRP,177,28150,1,54.48333333
29262,DGRP,177,28150,1,58.7
29263,DGRP,177,28150,1,74
29264,DGRP,177,28150,1,119.65
29265,DGRP,177,28150,1,79.15
29266,DGRP,177,28150,1,139.9833333
29267,DGRP,177,28150,1,114.8333333
29268,DGRP,177,28150,1,36.68333333
29269,DGRP,177,28150,1,70.76666667
29270,DGRP,177,28150,1,37.51666667
29271,DGRP,177,28150,1,31.7
29272,DGRP,177,28150,1,23.66666667
29273,DGRP,177,28150,1,29.78333333
29274,DGRP,177,28150,1,29.55
29275,DGRP,177,28150,1,33.83333333
29276,DGRP,181,28151,1,28.46666667
29277,DGRP,181,28151,1,31.76666667
29278,DGRP,181,28151,1,52.9
29279,DGRP,181,28151,1,54.41666667
29280,DGRP,181,28151,1,13.78333333
29281,DGRP,181,28151,1,81.08333333
29282,DGRP,181,28151,1,54.98333333
29283,DGRP,181,28151,1,42.23333333
29284,DGRP,181,28151,1,72.93333333
29285,DGRP,181,28151,1,23.73333333
29286,DGRP,181,28151,1,62.03333333
29287,DGRP,181,28151,1,66.85
29288,DGRP,181,28151,1,41.03333333
29289,DGRP,181,28151,1,57.25
29290,DGRP,181,28151,1,46.2
29291,DGRP,181,28151,1,68.68333333
29292,DGRP,189,28152,1,31.46666667
29293,DGRP,189,28152,1,13.71666667
29294,DGRP,189,28152,1,41.86666667
29295,DGRP,189,28152,1,11.65
29296,DGRP,189,28152,1,79.68333333
29297,DGRP,189,28152,1,17.46666667
29298,DGRP,189,28152,1,27.65
29299,DGRP,189,28152,1,34.3
29300,DGRP,189,28152,1,30.13333333
29301,DGRP,189,28152,1,10.28333333
29302,DGRP,189,28152,1,33.18333333
29303,DGRP,189,28152,1,18.4
29304,DGRP,189,28152,1,20.86666667
29305,DGRP,189,28152,1,10.8
29306,DGRP,189,28152,1,24.1
29307,DGRP,189,28152,1,14.36666667
28422,DGRP,208,25174,1,49.51666667
28423,DGRP,208,25174,1,50.63333333
28424,DGRP,208,25174,1,72.5
28425,DGRP,208,25174,1,74.56666667
28426,DGRP,208,25174,1,67.81666667
28427,DGRP,208,25174,1,55.05
28428,DGRP,208,25174,1,58.78333333
28429,DGRP,208,25174,1,56.33333333
28430,DGRP,208,25174,1,67.81666667
28431,DGRP,208,25174,1,59.91666667
28432,DGRP,208,25174,1,58.13333333
28433,DGRP,208,25174,1,70.4
28434,DGRP,208,25174,1,63.31666667
28435,DGRP,208,25174,1,75.71666667
28436,DGRP,208,25174,1,62.3
29308,DGRP,217,28154,1,85.53333333
29309,DGRP,217,28154,1,96.98333333
29310,DGRP,217,28154,1,79.98333333
29311,DGRP,217,28154,1,94.23333333
29312,DGRP,217,28154,1,105.65
29313,DGRP,217,28154,1,108.3
29314,DGRP,217,28154,1,80.26666667
29315,DGRP,217,28154,1,82.73333333
29316,DGRP,217,28154,1,90.66666667
29317,DGRP,217,28154,1,73.11666667
29318,DGRP,217,28154,1,108.5
29319,DGRP,217,28154,1,101.7833333
29320,DGRP,217,28154,1,72.05
29321,DGRP,217,28154,1,85.35
29322,DGRP,217,28154,1,106.5166667
29323,DGRP,217,28154,1,88.26666667
29324,DGRP,223,28155,1,92
29325,DGRP,223,28155,1,44.8
29326,DGRP,223,28155,1,54.21666667
29327,DGRP,223,28155,1,104.1666667
29328,DGRP,223,28155,1,32.51666667
29329,DGRP,223,28155,1,44.31666667
29330,DGRP,223,28155,1,23.9
29331,DGRP,223,28155,1,56.48333333
29332,DGRP,223,28155,1,42.38333333
29333,DGRP,223,28155,1,70.45
29334,DGRP,223,28155,1,22.63333333
29335,DGRP,223,28155,1,91.3
29336,DGRP,223,28155,1,72.36666667
29337,DGRP,223,28155,1,46.51666667
29338,DGRP,223,28155,1,41.68333333
29339,DGRP,223,28155,1,47.56666667
29340,DGRP,227,28156,1,69.78333333
29341,DGRP,227,28156,1,41.53333333
29342,DGRP,227,28156,1,56.6
29343,DGRP,227,28156,1,41.53333333
29344,DGRP,227,28156,1,64.01666667
29345,DGRP,227,28156,1,57.05
29346,DGRP,227,28156,1,62.01666667
29347,DGRP,227,28156,1,71.36666667
29348,DGRP,227,28156,1,46.05
29349,DGRP,227,28156,1,60.4
29350,DGRP,227,28156,1,49.41666667
29351,DGRP,227,28156,1,66.43333333
29352,DGRP,227,28156,1,49.43333333
29353,DGRP,227,28156,1,53.45
29354,DGRP,227,28156,1,63.68333333
29355,DGRP,228,28157,1,19.5
29356,DGRP,228,28157,1,21.23333333
29357,DGRP,228,28157,1,73.96666667
29358,DGRP,228,28157,1,75.88333333
29359,DGRP,228,28157,1,59.06666667
29360,DGRP,228,28157,1,60.43333333
29361,DGRP,228,28157,1,61.63333333
29362,DGRP,228,28157,1,50.3
29363,DGRP,228,28157,1,44.56666667
29364,DGRP,228,28157,1,73.9
29365,DGRP,228,28157,1,80
29366,DGRP,228,28157,1,80.26666667
29367,DGRP,228,28157,1,28.63333333
29368,DGRP,228,28157,1,20.21666667
29369,DGRP,228,28157,1,65.68333333
29370,DGRP,228,28157,1,57.56666667
30905,DGRP,229,29653,1,39.68333333
30906,DGRP,229,29653,1,57.15
30907,DGRP,229,29653,1,39.45
30908,DGRP,229,29653,1,16.78333333
30909,DGRP,229,29653,1,68.51666667
30910,DGRP,229,29653,1,12.91666667
30911,DGRP,229,29653,1,14.21666667
30912,DGRP,229,29653,1,46.41666667
30913,DGRP,229,29653,1,34.95
30914,DGRP,229,29653,1,15.7
30915,DGRP,229,29653,1,17.18333333
30916,DGRP,229,29653,1,11.11666667
30917,DGRP,229,29653,1,19.33333333
30918,DGRP,229,29653,1,22.75
30919,DGRP,229,29653,1,12.35
30920,DGRP,229,29653,1,11.15
29371,DGRP,233,28159,1,60.93333333
29372,DGRP,233,28159,1,49.28333333
29373,DGRP,233,28159,1,33.53333333
29374,DGRP,233,28159,1,48.46666667
29375,DGRP,233,28159,1,59.95
29376,DGRP,233,28159,1,51.43333333
29377,DGRP,233,28159,1,62.96666667
29378,DGRP,233,28159,1,43.61666667
29379,DGRP,233,28159,1,37.81666667
29380,DGRP,233,28159,1,65.71666667
29381,DGRP,233,28159,1,53.33333333
29382,DGRP,237,28160,1,36.6
29383,DGRP,237,28160,1,38.21666667
29384,DGRP,237,28160,1,29.81666667
29385,DGRP,237,28160,1,83.28333333
29386,DGRP,237,28160,1,79.68333333
29387,DGRP,237,28160,1,47.13333333
29388,DGRP,237,28160,1,81
29389,DGRP,237,28160,1,33.05
29390,DGRP,237,28160,1,65.03333333
29391,DGRP,237,28160,1,51.5
29392,DGRP,237,28160,1,79.51666667
29393,DGRP,237,28160,1,47.51666667
29394,DGRP,237,28160,1,31.76666667
29395,DGRP,237,28160,1,77.9
29396,DGRP,237,28160,1,71.36666667
29397,DGRP,237,28160,1,49.15
29398,DGRP,239,28161,1,80.08333333
29399,DGRP,239,28161,1,58.68333333
29400,DGRP,239,28161,1,24.53333333
29401,DGRP,239,28161,1,58
29402,DGRP,239,28161,1,36.55
29403,DGRP,239,28161,1,40.41666667
29404,DGRP,239,28161,1,36.81666667
29405,DGRP,239,28161,1,19.03333333
29406,DGRP,239,28161,1,56
29407,DGRP,239,28161,1,78.18333333
29408,DGRP,239,28161,1,47.73333333
29409,DGRP,239,28161,1,67.63333333
29410,DGRP,239,28161,1,25.91666667
29411,DGRP,239,28161,1,52.75
29412,DGRP,239,28161,1,38.51666667
29413,DGRP,239,28161,1,20
29414,DGRP,256,28162,1,53.88333333
29415,DGRP,256,28162,1,57.93333333
29416,DGRP,256,28162,1,21.95
29417,DGRP,256,28162,1,35.51666667
29418,DGRP,256,28162,1,48.61666667
29419,DGRP,256,28162,1,52.2
29420,DGRP,256,28162,1,38.41666667
29421,DGRP,256,28162,1,44.18333333
29422,DGRP,256,28162,1,45.18333333
29423,DGRP,256,28162,1,22.85
29424,DGRP,256,28162,1,33.26666667
29425,DGRP,256,28162,1,29.01666667
29426,DGRP,256,28162,1,46.76666667
29427,DGRP,256,28162,1,62.05
29428,DGRP,256,28162,1,52.26666667
29429,DGRP,256,28162,1,58.4
29430,DGRP,272,28163,1,34.7
29431,DGRP,272,28163,1,39.13333333
29432,DGRP,272,28163,1,57.91666667
29433,DGRP,272,28163,1,75.2
29434,DGRP,272,28163,1,15.55
29435,DGRP,272,28163,1,35.23333333
29436,DGRP,272,28163,1,42.13333333
29437,DGRP,272,28163,1,32.83333333
29438,DGRP,272,28163,1,57.3
29439,DGRP,272,28163,1,43.75
29440,DGRP,272,28163,1,32.93333333
29441,DGRP,272,28163,1,43.15
29442,DGRP,272,28163,1,25.98333333
29443,DGRP,272,28163,1,46.76666667
29444,DGRP,272,28163,1,44.78333333
29445,DGRP,280,28164,1,53.95
29446,DGRP,280,28164,1,60.96666667
29447,DGRP,280,28164,1,97.41666667
29448,DGRP,280,28164,1,34.03333333
29449,DGRP,280,28164,1,69.86666667
29450,DGRP,280,28164,1,44.75
29451,DGRP,280,28164,1,36.26666667
29452,DGRP,280,28164,1,45.21666667
29453,DGRP,280,28164,1,58.63333333
29454,DGRP,280,28164,1,94.78333333
29455,DGRP,280,28164,1,104.05
29456,DGRP,280,28164,1,106.9
29457,DGRP,280,28164,1,96.51666667
29458,DGRP,280,28164,1,97.81666667
29459,DGRP,280,28164,1,38.48333333
29460,DGRP,280,28164,1,90.98333333
28437,DGRP,301,25175,1,98.85
28438,DGRP,301,25175,1,126.8833333
28439,DGRP,301,25175,1,104.35
28440,DGRP,301,25175,1,77.8
28441,DGRP,301,25175,1,89.55
28442,DGRP,301,25175,1,104.25
28443,DGRP,301,25175,1,125.2166667
28444,DGRP,301,25175,1,94.36666667
28445,DGRP,301,25175,1,111.3166667
28446,DGRP,301,25175,1,120.6666667
28447,DGRP,301,25175,1,99.26666667
28448,DGRP,301,25175,1,89.95
28449,DGRP,301,25175,1,103
28450,DGRP,301,25175,1,88.11666667
28451,DGRP,301,25175,1,106.1
28452,DGRP,303,25176,1,27.45
28453,DGRP,303,25176,1,79.23333333
28454,DGRP,303,25176,1,25.76666667
28455,DGRP,303,25176,1,35.71666667
28456,DGRP,303,25176,1,21.21666667
28457,DGRP,303,25176,1,26.23333333
28458,DGRP,303,25176,1,22.1
28459,DGRP,303,25176,1,30.01666667
28460,DGRP,303,25176,1,36.33333333
28461,DGRP,303,25176,1,40.98333333
28462,DGRP,303,25176,1,27.68333333
28463,DGRP,303,25176,1,62.05
28464,DGRP,303,25176,1,42.25
28465,DGRP,303,25176,1,83.76666667
28466,DGRP,303,25176,1,40
28467,DGRP,303,25176,1,52.1
31042,DGRP,306,37525,1,52.56666667
31043,DGRP,306,37525,1,83.63333333
31044,DGRP,306,37525,1,84.76666667
31045,DGRP,306,37525,1,81.43333333
31046,DGRP,306,37525,1,35.73333333
31047,DGRP,306,37525,1,74.61666667
