Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
1,13,2,2,304,13,5,5,2,1,4,4,1,5,5,5,1,2,5,1,4,1,1,1,2,5,2,2,2,5,2,2,1,1,2,2,81,9,10,0,3,8,0,0,0,8,0
1,5,4,3,306,6,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,44,16,14,0,0,0,0,0,0,0,0
1,2,4,1,306,2,2,1,1,3,4,3,2,1,3,3,1,1,3,3,3,5,3,3,1,2,2,2,1,1,1,1,1,1,1,2,61,13,6,9,1,1,0,0,0,1,0
1,8,4,7,306,9,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,6,6,2,2,2,65,14,11,0,0,2,2,1,0,5,1
1,12,3,1,306,12,2,2,2,4,4,3,5,1,2,2,1,1,2,2,7,4,5,4,3,3,6,5,5,3,3,5,3,4,3,3,99,3,7,8,5,5,1,1,0,7,1
1,13,2,9,306,13,2,2,2,2,4,2,1,5,3,5,6,3,5,2,5,6,5,5,5,5,7,6,3,6,5,4,5,5,5,6,127,1,6,3,2,12,5,1,0,18,1
1,5,4,8,307,4,1,2,2,2,2,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,39,22,7,1,0,0,0,0,0,0,0
1,9,3,7,307,8,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,39,21,9,0,0,0,0,0,0,0,0
1,3,4,10,307,2,2,2,4,2,2,2,5,2,3,2,1,5,1,5,2,4,4,4,2,2,3,3,5,3,5,3,5,5,6,5,99,2,10,5,4,8,1,0,0,9,0
3,27,4,1,309,1,5,4,2,5,4,5,4,5,2,5,3,2,2,4,5,5,4,5,5,4,6,6,1,6,6,5,5,6,5,6,132,1,4,1,6,12,6,0,0,18,0
3,31,2,7,309,4,2,1,2,5,6,7,7,2,2,5,5,5,1,3,1,4,5,1,5,5,5,4,4,4,5,5,5,7,4,7,124,4,4,1,5,11,1,4,0,16,4
3,35,1,8,310,7,5,3,6,6,3,5,5,5,5,5,5,5,6,5,5,2,2,5,5,6,5,5,6,5,6,6,6,6,6,1,146,1,2,2,0,15,10,0,0,25,0
