line,Sex,Lifespan_hrs
RAL-443,Male,137.066667
RAL-443,Male,150.1
RAL-443,Male,173.75
RAL-365,Female,124.983333
RAL-365,Female,136.883333
RAL-365,Female,136.883333
RAL-365,Female,136.883333
RAL-365,Female,136.883333
RAL-365,Female,149.908333
RAL-365,Female,149.908333
RAL-365,Female,149.908333
RAL-365,Female,173.55
RAL-365,Female,188.891667
RAL-359,Male,88.6166667
RAL-359,Male,88.6166667
RAL-359,Male,101.9
RAL-359,Male,101.9
RAL-359,Male,113.916667
RAL-359,Male,113.916667
RAL-359,Male,125.058333
RAL-359,Male,125.058333
RAL-359,Male,125.058333
RAL-359,Male,136.95
RAL-237,Female,150.083333
RAL-237,Female,150.083333
RAL-237,Female,150.083333
RAL-237,Female,150.083333
RAL-237,Female,150.083333
RAL-237,Female,163.008333
RAL-237,Female,163.008333
RAL-237,Female,173.716667
RAL-237,Female,173.716667
RAL-237,Female,179.491667
RAL-237,Male,88.6916667
RAL-237,Male,88.6916667
RAL-237,Male,88.6916667
RAL-237,Male,101.983333
RAL-237,Male,101.983333
RAL-237,Male,101.983333
RAL-237,Male,101.983333
RAL-237,Male,114.008333
RAL-237,Male,114.008333
RAL-237,Male,125.15
RAL-88,Male,125.025
RAL-88,Male,125.025
RAL-88,Male,136.916667
RAL-88,Male,136.916667
RAL-88,Male,136.916667
RAL-88,Male,136.916667
RAL-88,Male,149.95
RAL-88,Male,149.95
RAL-88,Male,162.908333
RAL-88,Male,162.908333
RAL-810,Female,125.125
RAL-810,Female,125.125
RAL-810,Female,125.125
RAL-810,Female,125.125
RAL-810,Female,137.016667
RAL-810,Female,137.016667
RAL-810,Female,150.041667
RAL-810,Female,150.041667
RAL-810,Female,163.008333
RAL-810,Female,179.5
RAL-774,Female,101.866667
RAL-774,Female,101.866667
RAL-774,Female,113.891667
RAL-774,Female,113.891667
RAL-774,Female,113.891667
RAL-774,Female,125.033333
RAL-774,Female,136.916667
RAL-774,Female,136.916667
RAL-774,Female,136.916667
RAL-774,Female,136.916667
RAL-810,Male,88.675
RAL-810,Male,88.675
RAL-810,Male,101.958333
RAL-810,Male,113.975
RAL-810,Male,113.975
RAL-810,Male,113.975
RAL-810,Male,125.116667
RAL-810,Male,125.116667
RAL-810,Male,137.008333
RAL-810,Male,137.008333
RAL-338,Male,125.041667
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,136.933333
RAL-338,Male,149.958333
RAL-338,Male,149.958333
RAL-443,Female,125.175
RAL-443,Female,137.058333
RAL-443,Female,137.058333
RAL-443,Female,150.083333
RAL-443,Female,150.083333
RAL-443,Female,163.05
RAL-443,Female,163.05
RAL-443,Female,163.05
RAL-443,Female,163.05
RAL-443,Female,173.741667
RAL-149,Male,88.6916667
RAL-149,Male,88.6916667
RAL-149,Male,101.983333
RAL-149,Male,101.983333
RAL-149,Male,114.008333
RAL-149,Male,114.008333
RAL-149,Male,114.008333
RAL-149,Male,114.008333
RAL-149,Male,125.15
RAL-149,Male,125.15
RAL-385,Male,113.958333
RAL-385,Male,125.083333
RAL-385,Male,125.083333
RAL-385,Male,125.083333
RAL-385,Male,150.033333
RAL-385,Male,150.033333
RAL-385,Male,150.033333
RAL-385,Male,150.033333
RAL-385,Male,162.95
RAL-385,Male,162.95
RAL-786,Female,136.866667
RAL-786,Female,149.891667
RAL-786,Female,149.891667
RAL-786,Female,162.833333
RAL-786,Female,162.833333
RAL-786,Female,162.833333
RAL-786,Female,162.833333
RAL-786,Female,173.533333
RAL-786,Female,188.858333
RAL-181,Female,114.041667
RAL-181,Female,114.041667
RAL-181,Female,125.183333
RAL-181,Female,125.183333
RAL-181,Female,125.183333
RAL-181,Female,137.083333
RAL-181,Female,137.083333
RAL-181,Female,137.083333
RAL-181,Female,137.083333
RAL-181,Female,163.058333
RAL-149,Female,101.983333
RAL-149,Female,114
RAL-149,Female,125.133333
RAL-149,Female,125.133333
RAL-149,Female,137.016667
RAL-149,Female,137.016667
RAL-149,Female,137.016667
RAL-149,Female,163.033333
RAL-149,Female,220.725
RAL-913,Female,136.95
RAL-913,Female,149.975
RAL-913,Female,162.933333
RAL-913,Female,162.933333
RAL-913,Female,173.633333
RAL-913,Female,173.633333
RAL-913,Female,188.991667
RAL-913,Female,188.991667
RAL-913,Female,188.991667
RAL-913,Female,202.1
RAL-712,Male,64.8166667
RAL-712,Male,64.8166667
