Trait,R_diff,sd,2.5%,97.5%,Trait_Sex
FBgn0039589,-0.0944088,0.12612832750439623,-0.337528915,0.15807960749999966,Female
FBgn0039590,-0.1069846,0.1301201933467271,-0.35801285749999995,0.15434893999999996,Female
FBgn0039591,0.09604359999999999,0.12456089923996953,-0.15581699,0.3363835349999998,Female
FBgn0039592,0.21805344,0.12458900329028923,-0.03259517500000001,0.45492457499999994,Female
FBgn0039593,-3.1640000000000834e-4,0.1250816958118526,-0.24268604749999997,0.24836828749999992,Female
FBgn0039594,0.07841648,0.12551293360556787,-0.1699705,0.32551030499999994,Female
FBgn0039595,-0.08588649999999999,0.12133982184749728,-0.326766745,0.15074648749999978,Female
FBgn0039596,0.00961126,0.12896409115758659,-0.246114275,0.25670017749999996,Female
FBgn0039597,-0.1429918,0.12558730996594736,-0.3853732075,0.10527474999999994,Female
FBgn0039598,0.0437945,0.12738781158045137,-0.20793349749999998,0.2859670999999999,Female
FBgn0039599,-0.12748615,0.12696877360941763,-0.37253217499999997,0.12237300499999978,Female
FBgn0039600,-0.21604334999999997,0.12026012239824155,-0.442212875,0.024628099999999715,Female
FBgn0039601,-0.0672636,0.12672698226749243,-0.31361384425,0.18492809749999997,Female
FBgn0039602,-0.12559395,0.1264357047194353,-0.36906905,0.12202772499999985,Female
FBgn0039609,0.0073341500000000046,0.12835485683277612,-0.24332548250000002,0.2570665699999999,Female
FBgn0039611,-0.01157375,0.12874855554861664,-0.2620865575,0.2428088124999999,Female
FBgn0039612,0.31359675,0.12033805663080509,0.07462486750000001,0.543324875,Female
FBgn0039613,0.018791699999999995,0.1249027952696539,-0.22351373499999996,0.26250807499999973,Female
FBgn0039616,-0.25528439999999997,0.1263305610283216,-0.49918562499999997,-0.005727907500000262,Female
FBgn0039617,0.12751897499999998,0.1255818462728295,-0.12144411,0.37041536749999987,Female
FBgn0039620,0.15285490000000002,0.1289180751470542,-0.10460974425,0.40401842499999985,Female
FBgn0039621,0.0049152999999999974,0.12734771018119687,-0.2507885,0.24744986249999956,Female
FBgn0039622,0.1222647,0.1276871864615414,-0.129650505,0.3692346025,Female
FBgn0039623,-0.13149555000000002,0.12476253637392158,-0.3730227375,0.11904388249999999,Female
FBgn0039625,-0.12268275000000001,0.12317098922785862,-0.36362314375,0.11766514999999991,Female
FBgn0039626,-0.12837409,0.12579985516154343,-0.369408275,0.12180015249999972,Female
FBgn0039627,-0.04357707500000001,0.12565006327217212,-0.28329323249999994,0.20553498999999986,Female
FBgn0039628,0.16542479999999998,0.12717166138184224,-0.08426990749999999,0.4125449249999998,Female
FBgn0039629,0.13267185,0.1262021084496735,-0.120714685,0.37364089999999994,Female
FBgn0039630,0.1291679,0.1287370893088847,-0.1274501425,0.37611229999999984,Female
FBgn0039631,-0.05418914999999999,0.12237435980534728,-0.294115465,0.18305576762499992,Female
FBgn0039632,-0.3074336,0.12482576026892435,-0.54364195,-0.05330841250000004,Female
FBgn0039633,-0.11981715,0.12519716809345338,-0.36963971749999996,0.12815667499999997,Female
