Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0010356,0.02536875,0.06267459526999712,-0.09709226375,0.14713348499999998,Female
FBgn0010357,-0.13797074999999998,0.0613540189251009,-0.2564389,-0.015541223375000003,Female
FBgn0010379,0.042599,0.06237316331232395,-0.08170991,0.16402067999999997,Female
FBgn0010380,-0.1137675725,0.06105365442701479,-0.22937849999999999,0.009603311249999984,Female
FBgn0010382,0.03570065,0.06270720418340997,-0.08909120125,0.1578505974999998,Female
FBgn0010383,-0.0314739,0.06400714176537531,-0.161894664125,0.09284052499999983,Female
FBgn0010385,-0.03896605,0.06335366663833214,-0.162685525,0.08490534699999995,Female
FBgn0010387,-0.12943114,0.0641380787334976,-0.2510321,8.518549999999688e-4,Female
FBgn0010388,-0.112860675,0.0628465198565174,-0.23594375,0.014995188999999987,Female
FBgn0010389,-0.0198622075,0.06263433501795132,-0.14190785625,0.1057394462499999,Female
FBgn0010391,-0.07392775000000001,0.06393001561865905,-0.198597975,0.05144689124999985,Female
FBgn0010395,-0.025910105000000003,0.06349836941521826,-0.1520223975,0.10187274124999995,Female
FBgn0010397,0.0018509999999999967,0.06699018261127579,-0.129437805,0.1331096524999999,Female
FBgn0010398,-0.031178300000000003,0.06391739076678427,-0.1578771625,0.09671420124999999,Female
FBgn0010399,-0.013754200000000001,0.06047402905507019,-0.12896186874999999,0.10608909449999995,Female
FBgn0010401,-0.018529825,0.06368572616805951,-0.14296824625,0.10434439124999995,Female
FBgn0010403,-0.012154250000000002,0.06379100689173714,-0.138829875,0.11339817124999985,Female
FBgn0010406,-0.04039862,0.0638671003331802,-0.16950735,0.08390738374999998,Female
FBgn0010407,-0.025200720000000003,0.06469613811284149,-0.15232181250000001,0.10181932499999999,Female
FBgn0010408,-0.104086975,0.06343828445090165,-0.2308936,0.020455902499999946,Female
FBgn0010409,-0.0370571475,0.0636633825237801,-0.1584259975,0.09092303249999996,Female
FBgn0010411,-0.09461187500000001,0.06152686491866417,-0.213715475,0.030464104999999936,Female
FBgn0010412,-0.078173925,0.06350919889848705,-0.20244461249999998,0.047492748749999945,Female
FBgn0010414,-0.010032625000000003,0.0627142424741446,-0.13160868874999998,0.1131376053749999,Female
FBgn0010415,-0.07380667499999999,0.0650001675846051,-0.199029425,0.05716477499999989,Female
FBgn0010416,-0.005203300000000001,0.06127301353233515,-0.12545291999999997,0.11462005374999996,Female
FBgn0010417,0.049094775,0.06106441028925229,-0.07205869999999998,0.1669745875,Female
FBgn0010421,-6.100000000000029e-5,0.06188494667784078,-0.12014751625000002,0.1232191599999998,Female
FBgn0010422,-0.025072165,0.06396896777507793,-0.15185880499999999,0.10098381787499999,Female
FBgn0010423,0.026415475,0.0643033221069863,-0.09909554,0.15246811249999997,Female
FBgn0010424,0.06918270000000001,0.06344298599944105,-0.05334133374999999,0.19249848624999996,Female
FBgn0010425,-0.05028275,0.062302891897636624,-0.16839291249999996,0.07463186374999997,Female
FBgn0010431,-0.0562497675,0.06192433940907552,-0.1779434125,0.06590523749999995,Female
FBgn0010433,0.007188174999999998,0.06254994191259913,-0.11726850625,0.12634105499999998,Female
FBgn0010434,-0.1076395,0.06090129146244144,-0.22708084999999997,0.009144146249999978,Female
FBgn0010435,0.04923455,0.06280831795948126,-0.07525513337499999,0.17026758374999998,Female
FBgn0010438,-0.034255835,0.0634419146285262,-0.15928921250000003,0.08952710374999998,Female
FBgn0010441,-0.008103940000000002,0.06368089367452309,-0.13158503875,0.11711045,Female
FBgn0010452,0.038659175000000004,0.06469687508377954,-0.09303432737499999,0.16329615124999988,Female
FBgn0010453,-0.083073375,0.06325655688872675,-0.20483784374999997,0.04223790624999994,Female
FBgn0010470,0.02260310975,0.06371290951708822,-0.1032786725,0.14832988749999998,Female
FBgn0010488,0.08143965,0.061433710071898795,-0.0411437375,0.20272512499999998,Female
FBgn0010497,-0.084036675,0.06224139121567211,-0.20262465000000002,0.04008007999999999,Female
FBgn0010501,0.037881450000000004,0.06235024536788739,-0.08629370874999999,0.15572625624999986,Female
FBgn0010504,-0.00763961,0.06408928168943623,-0.13380354625,0.11927822749999999,Female
FBgn0010516,0.014381495,0.062113515108818386,-0.10881468500000001,0.13303190999999998,Female
FBgn0010520,-0.11082739999999999,0.06164377603879557,-0.232318925,0.012464664999999745,Female
FBgn0010531,0.016557920999999996,0.06249929094578851,-0.10625879749999999,0.13783766249999996,Female
FBgn0010548,-0.06410465,0.0653457591016626,-0.1889338,0.06528006874999998,Female
FBgn0010549,-0.0759514,0.06218822047193676,-0.19627776,0.046723894999999994,Female
FBgn0010551,0.014622999999999997,0.0622212982060175,-0.10661364499999999,0.13812692124999984,Female
FBgn0010583,0.023144187499999996,0.06186481442052982,-0.09999651874999999,0.14196893749999998,Female
FBgn0010590,-0.01797195,0.06312669798156594,-0.14186601125,0.10442538749999979,Female
FBgn0010591,-0.06884132500000001,0.06146317603701071,-0.18798289999999998,0.052388996125,Female
FBgn0010602,0.0126094575,0.0630125561544857,-0.11207161875,0.1373751325,Female
FBgn0010607,-0.0844626875,0.06227440806419267,-0.20572622875,0.036113496249999995,Female
FBgn0010611,-0.025730274999999997,0.06393153554790552,-0.15287754499999998,0.10182601124999999,Female
FBgn0010612,-0.09165575,0.06468543466158816,-0.218348725,0.03672747124999991,Female
FBgn0010620,0.0955704525,0.06323274171952918,-0.02952500125,0.21992373749999986,Female
FBgn0010621,-0.0790099,0.06313170343703361,-0.2007047875,0.045760914999999874,Female
FBgn0010622,-0.0458511025,0.06389570287054187,-0.170333325,0.07742202499999995,Female
FBgn0010638,-0.0265508775,0.062023090961485845,-0.147729175,0.09614252624999998,Female
FBgn0010651,-0.105880075,0.06164762216139275,-0.22555741500000004,0.015846162249999997,Female
FBgn0010660,0.039586225,0.06259479224584756,-0.08311285,0.1612605899999999,Female
FBgn0010741,-0.087543175,0.06292950425484899,-0.21197139999999998,0.03472430249999999,Female
FBgn0010747,-0.190863,0.059883578945624044,-0.302262125,-0.0713617451250001,Female
FBgn0010750,-0.04442407499999999,0.0617625475830963,-0.1664034625,0.07876741624999992,Female
FBgn0010762,0.008440375000000003,0.06535791698865803,-0.12019558875,0.13481095124999995,Female
FBgn0010768,0.009672874999999997,0.06588089698165613,-0.122948365,0.13685501137499997,Female
FBgn0010770,-0.039823825,0.062343792527357875,-0.1614846825,0.08291477624999996,Female
FBgn0010772,0.1311212,0.06316709545375504,0.0019649837500000013,0.2506018124999999,Female
FBgn0010774,0.072201775,0.062383649378422015,-0.0516419675,0.19185514999999992,Female
