DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_819,Exp 4,17,17,0
line_818,Exp 4,20,20,0
line_812,Exp 4,20,20,0
line_810,Exp 4,18,6,12
line_808,Exp 4,22,22,0
line_805,Exp 4,20,20,0
line_804,Exp 4,19,19,0
line_802,Exp 4,17,17,0
line_801,Exp 4,20,20,0
line_799,Exp 4,21,21,0
line_796,Exp 4,20,0,20
line_790,Exp 4,19,0,19
line_787,Exp 4,20,19,1
line_786,Exp 4,20,1,19
line_783,Exp 4,18,18,0
line_776,Exp 4,20,14,6
line_774,Exp 4,38,12,26
line_765,Exp 4,18,18,0
line_761,Exp 4,20,20,0
line_757,Exp 4,18,10,8
line_748,Exp 4,38,38,0
line_738,Exp 4,18,18,0
line_737,Exp 4,18,18,0
line_732,Exp 4,20,20,0
line_730,Exp 4,7,3,4
line_727,Exp 4,20,20,0
line_721,Exp 4,16,16,0
line_716,Exp 4,20,20,0
line_714,Exp 4,18,13,5
line_712,Exp 4,18,0,18
line_707,Exp 4,29,28,1
line_705,Exp 4,17,3,14
line_703,Exp 4,18,18,0
line_646,Exp 4,,,
line_642,Exp 4,,,
line_639,Exp 4,39,36,3
line_634,Exp 4,29,1,28
line_630,Exp 4,7,0,7
line_627,Exp 4,17,17,0
line_596,Exp 4,,,
line_595,Exp 4,10,9,1
line_589,Exp 4,18,1,17
line_584,Exp 4,19,19,0
line_566,Exp 4,18,17,1
line_563,Exp 4,13,13,0
line_559,Exp 4,15,14,1
line_555,Exp 4,19,19,0
line_551,Exp 4,17,10,7
line_535,Exp 4,20,7,13
line_531,Exp 4,,,
line_530,Exp 4,16,13,3
line_528,Exp 4,19,19,0
line_517,Exp 4,19,19,0
line_513,Exp 4,,,
line_509,Exp 4,35,26,9
line_508,Exp 4,19,13,6
line_505,Exp 4,20,20,0
line_502,Exp 4,19,19,0
line_492,Exp 4,20,20,0
line_491,Exp 4,20,0,20
line_486,Exp 4,20,20,0
line_461,Exp 4,19,19,0
line_443,Exp 4,20,13,7
line_441,Exp 4,19,9,10
line_440,Exp 4,17,17,0
line_439,Exp 4,15,15,0
line_437,Exp 4,,,
line_427,Exp 4,25,25,0
line_426,Exp 4,18,18,0
line_409,Exp 4,18,18,0
line_406,Exp 4,18,18,0
